,variable,powertrain,euro_class,component,hot
0,a,cng,1.0,Benzene,0.0
1,a,cng,1.0,CH4,4.385862129856943e-05
2,a,cng,1.0,CO,0.00010103832980716432
3,a,cng,1.0,FC_MJ,0.0020000000000000005
4,a,cng,1.0,HC,4.767241363061721e-05
5,a,cng,1.0,N2O,5.7999999999999995e-06
6,a,cng,1.0,NH3,0.00015918462945170174
7,a,cng,1.0,NMHC,3.8137930204950987e-06
8,a,cng,1.0,NO2,4.593645954174549e-05
9,a,cng,1.0,NOx,0.0001837085917712336
10,a,cng,1.0,PM2.5,7.88374855733114e-07
11,a,cng,1.0,Pb,0.0
12,a,cng,2.0,Benzene,0.0
13,a,cng,2.0,CH4,2.1929310649284714e-05
14,a,cng,2.0,CO,5.051916490358216e-05
15,a,cng,2.0,FC_MJ,0.0010000000000000002
16,a,cng,2.0,HC,2.3836206815308606e-05
17,a,cng,2.0,N2O,2.8999999999999998e-06
18,a,cng,2.0,NH3,7.959231472585087e-05
19,a,cng,2.0,NMHC,1.9068965102475494e-06
20,a,cng,2.0,NO2,2.2968229770872746e-05
21,a,cng,2.0,NOx,9.18542958856168e-05
22,a,cng,2.0,PM2.5,3.94187427866557e-07
23,a,cng,2.0,Pb,0.0
24,a,cng,3.0,Benzene,0.0
25,a,cng,3.0,CH4,2.1929310649284714e-05
26,a,cng,3.0,CO,5.051916490358216e-05
27,a,cng,3.0,FC_MJ,0.0010000000000000002
28,a,cng,3.0,HC,2.3836206815308606e-05
29,a,cng,3.0,N2O,2.8999999999999998e-06
30,a,cng,3.0,NH3,7.959231472585087e-05
31,a,cng,3.0,NMHC,1.9068965102475494e-06
32,a,cng,3.0,NO2,2.2968229770872746e-05
33,a,cng,3.0,NOx,9.18542958856168e-05
34,a,cng,3.0,PM2.5,3.94187427866557e-07
35,a,cng,3.0,Pb,0.0
36,a,cng,4.0,Benzene,0.0
37,a,cng,4.0,CH4,2.1929310649284714e-05
38,a,cng,4.0,CO,5.051916490358216e-05
39,a,cng,4.0,FC_MJ,0.0010000000000000002
40,a,cng,4.0,HC,2.3836206815308606e-05
41,a,cng,4.0,N2O,2.8999999999999998e-06
42,a,cng,4.0,NH3,7.959231472585087e-05
43,a,cng,4.0,NMHC,1.9068965102475494e-06
44,a,cng,4.0,NO2,2.2968229770872746e-05
45,a,cng,4.0,NOx,9.18542958856168e-05
46,a,cng,4.0,PM2.5,3.94187427866557e-07
47,a,cng,4.0,Pb,0.0
48,a,cng,5.0,Benzene,0.0
49,a,cng,5.0,CH4,2.1929310649284714e-05
50,a,cng,5.0,CO,5.051916490358216e-05
51,a,cng,5.0,FC_MJ,0.0010000000000000002
52,a,cng,5.0,HC,2.3836206815308606e-05
53,a,cng,5.0,N2O,2.8999999999999998e-06
54,a,cng,5.0,NH3,7.959231472585087e-05
55,a,cng,5.0,NMHC,1.9068965102475494e-06
56,a,cng,5.0,NO2,2.2968229770872746e-05
57,a,cng,5.0,NOx,9.18542958856168e-05
58,a,cng,5.0,PM2.5,3.941874277806629e-07
59,a,cng,5.0,Pb,0.0
60,a,cng,6.0,Benzene,0.0
61,a,cng,6.0,CH4,1.0844989449534538e-05
62,a,cng,6.0,CO,4.448744926233733e-05
63,a,cng,6.0,FC_MJ,0.0009999999999999998
64,a,cng,6.0,HC,1.1788031782007278e-05
65,a,cng,6.0,N2O,2.8999999999999998e-06
66,a,cng,6.0,NH3,7.959231472585087e-05
67,a,cng,6.0,NMHC,9.430425145905954e-07
68,a,cng,6.0,NO2,7.383091261897112e-06
69,a,cng,6.0,NOx,2.9525999583275014e-05
70,a,cng,6.0,PM2.5,3.981691110796882e-07
71,a,cng,6.0,Pb,0.0
72,a,diesel,1.0,Benzene,2.7237532945039497e-06
73,a,diesel,1.0,CH4,3.914376124361118e-06
74,a,diesel,1.0,CO,0.0005254876321019972
75,a,diesel,1.0,FC_MJ,0.001999999999999998
76,a,diesel,1.0,HC,0.0001630990038216193
77,a,diesel,1.0,N2O,2.162256828145266e-05
78,a,diesel,1.0,NH3,5.7999999999999995e-06
79,a,diesel,1.0,NMHC,0.00015918462945170174
80,a,diesel,1.0,NO2,9.887709481803076e-05
81,a,diesel,1.0,NOx,0.001411949567370633
82,a,diesel,1.0,PM2.5,0.00012235497227203364
83,a,diesel,1.0,Pb,0.0
84,a,diesel,2.0,Benzene,8.772720992742747e-07
85,a,diesel,2.0,CH4,1.2607503648368076e-06
86,a,diesel,2.0,CO,0.00019983039433711636
87,a,diesel,2.0,FC_MJ,0.0010000000000000005
88,a,diesel,2.0,HC,5.253126471469909e-05
89,a,diesel,2.0,N2O,1.0648832778858626e-05
90,a,diesel,2.0,NH3,2.8999999999999998e-06
91,a,diesel,2.0,NMHC,5.127051499473232e-05
92,a,diesel,2.0,NO2,5.3511356235780197e-05
93,a,diesel,2.0,NOx,0.0007641428533917401
94,a,diesel,2.0,PM2.5,2.143614275152957e-05
95,a,diesel,2.0,Pb,0.0
96,a,diesel,3.0,Benzene,8.38283196107457e-07
97,a,diesel,3.0,CH4,1.2047184077418379e-06
98,a,diesel,3.0,CO,0.00025626692995704
99,a,diesel,3.0,FC_MJ,0.0009999999999999998
100,a,diesel,3.0,HC,5.019659984971783e-05
101,a,diesel,3.0,N2O,5.526264591439689e-06
102,a,diesel,3.0,NH3,2.8999999999999998e-06
103,a,diesel,3.0,NMHC,4.899188199883644e-05
104,a,diesel,3.0,NO2,4.639374024486486e-05
105,a,diesel,3.0,NOx,0.0006625017993614568
106,a,diesel,3.0,PM2.5,2.3333691448273165e-05
107,a,diesel,3.0,Pb,0.0
108,a,diesel,4.0,Benzene,7.347107763016686e-08
109,a,diesel,4.0,CH4,1.0558718112119897e-07
110,a,diesel,4.0,CO,0.00017411812155918534
111,a,diesel,4.0,FC_MJ,0.0009999999999999998
112,a,diesel,4.0,HC,4.3994658341337485e-06
113,a,diesel,4.0,N2O,1.3177042609273671e-05
114,a,diesel,4.0,NH3,2.8999999999999998e-06
115,a,diesel,4.0,NMHC,4.29387870234721e-06
116,a,diesel,4.0,NO2,7.707783349138e-05
117,a,diesel,4.0,NOx,0.0005923188804043478
118,a,diesel,4.0,PM2.5,4.176321700225199e-06
119,a,diesel,4.0,Pb,0.0
120,a,diesel,5.0,Benzene,1.409624711824029e-07
121,a,diesel,5.0,CH4,2.0258080437828818e-07
122,a,diesel,5.0,CO,0.00016120976257148067
123,a,diesel,5.0,FC_MJ,0.0009999999999999994
124,a,diesel,5.0,HC,8.440866786965851e-06
125,a,diesel,5.0,N2O,3.615855996919585e-05
126,a,diesel,5.0,NH3,1.0999999999999998e-05
127,a,diesel,5.0,NMHC,8.238286079757388e-06
128,a,diesel,5.0,NO2,7.423666018085615e-05
129,a,diesel,5.0,NOx,0.0005651659438324608
130,a,diesel,5.0,PM2.5,4.250837035592928e-06
131,a,diesel,5.0,Pb,0.0
132,a,diesel,6.0,Benzene,5.543482336409573e-08
133,a,diesel,6.0,CH4,7.966681301473244e-08
134,a,diesel,6.0,CO,2.8795849460924468e-05
135,a,diesel,6.0,FC_MJ,0.0010000000000000002
136,a,diesel,6.0,HC,3.319450513702435e-06
137,a,diesel,6.0,N2O,3.968822968579767e-05
138,a,diesel,6.0,NH3,1.240096027302205e-05
139,a,diesel,6.0,NMHC,3.2397837494085313e-06
140,a,diesel,6.0,NO2,3.50042747345681e-05
141,a,diesel,6.0,NOx,0.00012497725637136665
142,a,diesel,6.0,PM2.5,1.948748560304414e-06
143,a,diesel,6.0,Pb,0.0
